"","caseid","startmonth","startday","startyear","endmonth","endday","endyear","ongoingasofmonth","ongoingasofday","ongoingasofyear","sender1","sender2","sender3","sender4","sender5","primarysender","targetstate","institution","institutionid","targetinstitution","otherinstitution","issue1","issue2","issue3","otherissue","threat","threatid1","threatid2","threatid3","sanctiontypethreat","othersanctiontypethreatened","bspecif","scommit","threatenedtargetinterest","dsanctions","carrots","anticipatedtargetcosts","anticipatedtargetcostsfigureifav","tcurrency","tyearofestimate","anticipatedsendercosts","scurrency","syearofestimate","imposition","sancimpositionstartmonth","sancimpositionstartday","sancimpositionstartyear","sanctionidentity","sanctiontype","othersanctiontype","implementationofdiplomaticsancti","carrotsduringsanction","carrotvalue","carrotcurrency","carrotyear","targetcosts","targeteconomiccostsfigure","targeteconomiccostscurrency","targeteconomiccostsyear","sendercosts","sendereconomiccostsfigure","sendereconomiccostscurrency","sendereconomiccostsyear","finaloutcome","settlementnaturesender","settlementnaturetarget","anticipatedtargetcosts_z","targetcosts_z","sendereconomiccostsfigure_z","Severity","senders_combined"
"337",1977022404,2,24,1977,2,6,1984,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Brazil",0,NA,NA,NA,8,NA,NA,NA,1,4,3,NA,"8",NA,1,3,"5",NA,NA,1,"50000000","USD",1977,1,NA,NA,1,2,"24","1977","4 2","7",NA,NA,NA,NA,NA,NA,1,"50000000","USD",1977,1,NA,NA,NA,8,3,7,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"338",1977022405,2,24,1977,1,13,1981,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"El Salvador",0,NA,NA,NA,8,NA,NA,NA,1,4,3,NA,"8",NA,1,3,"5",NA,NA,1,"12500000","USD",1977,1,NA,NA,1,2,"24","1977","4 2","7",NA,NA,NA,NA,NA,NA,1,"12500000","USD",1977,1,NA,NA,NA,10,3,7,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"339",1977022406,2,24,1977,7,9,1981,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Paraguay",1,"3900",1,NA,8,NA,NA,NA,1,4,3,7,"8",NA,2,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"340",1977022407,2,24,1977,7,9,1981,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Uruguay",0,NA,NA,NA,8,NA,NA,NA,1,4,NA,NA,"8",NA,1,3,"5",NA,NA,1,"3197000","USD",1977,1,NA,NA,1,2,"24","1977","4 2","7",NA,NA,NA,NA,NA,NA,1,"3197000","USD",1977,1,NA,NA,NA,8,3,7,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"341",1977030801,3,8,1977,7,14,1977,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Japan",0,NA,NA,NA,13,NA,NA,NA,1,1,NA,NA,"4",NA,2,3,"3",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,2,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"342",1977031201,3,12,1977,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Ethiopia",0,NA,NA,NA,7,8,NA,NA,1,4,3,5,"8",NA,1,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,1,3,"12","1977","5 2","4 7",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,9,NA,NA,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"343",1977041201,4,12,1977,6,21,1978,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Japan",0,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,"4",NA,1,3,"3",NA,NA,1,"225000000","USD",1977,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"344",1977042001,4,20,1977,7,5,1977,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Pakistan",0,NA,NA,NA,3,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"20","1977","4 5","4",NA,NA,NA,NA,NA,NA,1,"68000","USD",1977,1,NA,NA,NA,6,7,3,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"345",1977050801,5,8,1977,7,NA,2006,NA,NA,NA,"United States of America","Canada","United Kingdom","Italy","France",NA,"Libya",1,"1653",0,"G7",10,NA,NA,NA,1,5,4,1,"3 1 2",NA,1,3,"1","3",NA,3,"15300000000","USD",1986,2,"USD",1986,1,1,"21","1978","4 1 5 6","2 1 4 8 9",NA,4,"3 0",NA,NA,NA,2,"2855000000","USD",1986,1,2.855e+09,"USD",1986,10,5,5,3.52602493658318,1.54396930609564,-0.0473938798294898,1.67420012094978,"United States of America,Canada,United Kingdom,Italy,France"
"346",1977070801,7,8,1977,10,4,1983,NA,NA,NA,"China",NA,NA,NA,NA,710,"Albania",0,NA,NA,NA,1,NA,NA,"Retaliate for anti-Chinese statements",1,6,NA,NA,"1",NA,1,1,"1",NA,NA,2,"208300000","USD",1978,1,"USD",1978,1,7,"8","1977","5","7 1",NA,NA,"3 0","0",NA,NA,2,"208000000","USD",1978,1,2.08e+08,"USD",1978,10,5,5,1.51714622188741,1.54396930609564,-0.0960677040300303,0.988349274651006,"China"
"347",1977080401,8,4,1977,12,8,1977,NA,NA,NA,"Egypt",NA,NA,NA,NA,651,"Russia",0,NA,NA,NA,7,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,"4","1977","4","4 9",NA,1,"0",NA,NA,NA,1,"4000000000","USD",1977,1,NA,NA,NA,9,7,0,NA,-0.440056398317161,NA,-0.440056398317161,"Egypt"
"348",1977090801,9,8,1977,9,21,1977,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"South Korea",0,NA,NA,NA,15,NA,NA,"Extradite Criminal",1,2,2,NA,"8 4",NA,2,3,"1",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,1.51714622188741,NA,NA,1.51714622188741,"United States of America"
"349",1977122001,12,20,1977,7,11,1991,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"South Africa",1,"2370 1653",0,NA,6,NA,NA,NA,1,6,NA,NA,"5",NA,2,3,"3 5",NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,"10","1978","2 4","4",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,8,1,NA,NA,NA,NA,"United States of America,NA"
"350",1977999901,NA,NA,1977,5,16,1977,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"South Korea",0,NA,NA,NA,13,NA,NA,NA,1,1,NA,NA,"4",NA,1,3,"3",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"351",1977999902,NA,NA,1977,9,9,1977,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"South Korea",0,NA,NA,NA,8,NA,NA,NA,1,2,NA,NA,"8",NA,1,3,"1",NA,NA,1,NA,"USD",1977,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,10,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"352",1978020701,2,7,1978,7,29,1982,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"India",0,NA,NA,NA,6,NA,NA,NA,1,3,6,NA,"5 8",NA,2,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,1,2,"7","1978","4 1","5 4 8",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,6,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"353",1978051201,5,12,1978,NA,NA,1988,NA,NA,NA,"China",NA,NA,NA,NA,710,"Vietnam",0,NA,NA,NA,8,7,NA,"Vietnam",1,6,4,NA,"8",NA,1,3,"1","3",NA,2,"3000000000","USD",1976,1,NA,NA,1,5,"30","1978","5","7",NA,3,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,10,5,5,1.51714622188741,1.54396930609564,NA,1.53055776399152,"China"
"354",1978070201,7,2,1978,2,NA,1979,NA,NA,NA,"Saudi Arabia","Kuwait","Lebanon","Yemen Arab Republic","Morocco",NA,"Yemen People's Republic",1,"3450",1,NA,7,10,NA,"South Yemen",1,6,NA,NA,"1",NA,1,1,"1","4",NA,2,NA,NA,NA,1,NA,NA,1,7,"2","1978","6","1 5",NA,4,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,1,7,1.51714622188741,-0.440056398317161,NA,0.538544911785124,"Saudi Arabia,Kuwait,Lebanon,Yemen Arab Republic,Morocco"
"355",1978071801,7,18,1978,4,27,1979,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Russia",0,NA,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,7,"18","1979","4","4",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,5,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"356",1978072401,7,24,1978,8,15,1978,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Bolivia",0,NA,NA,NA,3,NA,NA,NA,1,4,NA,NA,"8",NA,2,3,NA,NA,NA,1,"78000000","USD",1978,1,NA,NA,1,NA,NA,NA,"5","7",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,7,3,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"357",1978090801,9,8,1978,NA,NA,NA,NA,NA,NA,"Thailand",NA,NA,NA,NA,800,"United States of America",0,NA,NA,NA,13,NA,NA,NA,1,1,NA,NA,"4",NA,2,2,"3",NA,NA,1,"59700000","USD",1977,1,"USD",1977,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,-0.491732492808361,NA,NA,-0.491732492808361,"Thailand"
"358",1978092401,9,24,1978,9,NA,1984,NA,NA,NA,"Saudi Arabia","Syria","Iraq","Libya","Jordan",NA,"Egypt",1,"3450",1,NA,7,NA,NA,NA,1,8,NA,NA,"3",NA,2,2,"1","4",NA,1,NA,NA,NA,1,NA,NA,1,9,"24","1978","5 6","2 6",NA,4,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,1,9,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"Saudi Arabia,Syria,Iraq,Libya,Jordan"
"359",1979019901,1,NA,1979,NA,NA,1989,NA,NA,NA,"United States of America","Japan","Denmark","Australia","United Kingdom",2,"Vietnam",1,"4400 2400 2880 4400",0,NA,1,2,8,NA,1,2,8,5,"8 2",NA,2,3,"1",NA,3,NA,NA,"USD",1979,1,NA,NA,1,1,NA,"1979","5 6","1 7",NA,NA,"3",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,10,5,2,NA,1.54396930609564,NA,1.54396930609564,"United States of America,Japan,Denmark,Australia,United Kingdom"
"360",1979022101,2,21,1979,12,24,1979,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Afghanistan",0,NA,NA,NA,8,NA,NA,"Punish for death of ambassador",1,4,2,NA,"8",NA,1,3,"1","3",NA,1,"14800000","USD",1979,1,"USD",1979,1,2,"21","1979","4","7",NA,NA,"0",NA,NA,NA,1,"17310000","USD",1979,1,0,"USD",1979,9,1,3,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America"
"361",1979032801,3,28,1979,NA,NA,NA,NA,NA,NA,"Saudi Arabia","Jordan","Syria","Iraq",NA,NA,"United States of America",1,"3450",0,NA,7,NA,NA,NA,1,4,5,6,"3 4",NA,1,2,"1 3",NA,NA,1,"825000000","USD",1979,1,"USD",1979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,9,-0.491732492808361,NA,NA,-0.491732492808361,"Saudi Arabia,Jordan,Syria,Iraq"
"362",1979033101,3,31,1979,9,NA,1984,NA,NA,NA,"Egypt",NA,NA,NA,NA,651,"Saudi Arabia",0,NA,NA,NA,7,NA,NA,"Arab League (Arab States) Retaliation for Sanction",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"24","1979","4","6",NA,4,"0",NA,NA,NA,1,"8","USD",1979,1,3.4e+07,"USD",1979,9,9,1,NA,-0.440056398317161,-0.0992672678422306,-0.269661833079696,"Egypt"
"363",1979060701,6,7,1979,10,29,1979,NA,NA,NA,"Iraq",NA,NA,NA,NA,NA,"Canada",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,4,NA,NA,"2",NA,2,3,"3 1",NA,NA,2,NA,NA,NA,1,NA,NA,1,6,"7","1979","5","9 2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,7,9,1,1.51714622188741,-0.440056398317161,NA,0.538544911785124,"Iraq"
"364",1979061801,6,18,1979,NA,NA,NA,NA,NA,NA,"Libya",NA,NA,NA,NA,620,"United States of America",0,NA,NA,NA,2,1,10,"Retaliate for Sanctions",1,5,1,4,"7",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,1.51714622188741,NA,NA,1.51714622188741,"Libya"
"365",1979079901,7,NA,1979,12,23,1979,NA,NA,NA,"Nigeria",NA,NA,NA,NA,475,"United Kingdom",0,NA,NA,NA,7,NA,NA,"Prevent Lifting of Sanctions against Rhodesia",1,6,NA,NA,"1",NA,2,2,"1",NA,NA,1,NA,NA,NA,1,NA,NA,1,7,NA,"1979","5","6",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,6,6,4,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"Nigeria"
"366",1979079902,7,NA,1979,12,23,1979,NA,NA,NA,"Nigeria",NA,NA,NA,NA,475,"United States of America",0,NA,NA,NA,7,NA,NA,"Prevent Lifting of Sanctions against Rhodesia",1,6,NA,NA,"1",NA,2,2,"1",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,-0.491732492808361,NA,NA,-0.491732492808361,"Nigeria"
"367",1979102301,10,23,1979,12,17,1979,NA,NA,NA,"Zimbabwe",NA,NA,NA,NA,552,"Zambia",0,NA,NA,NA,10,NA,NA,NA,1,6,NA,NA,"3",NA,2,3,"1",NA,NA,3,NA,NA,NA,3,NA,NA,1,10,"23","1979","5","2",NA,NA,"0",NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,9,0,5,3.52602493658318,3.52799501050844,NA,3.52700997354581,"Zimbabwe"
"368",1979110201,11,2,1979,10,NA,1982,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Bolivia",0,NA,NA,NA,8,11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,"2","1979","5 4","7",NA,2,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,6,7,5,NA,1.54396930609564,NA,1.54396930609564,"United States of America"
"369",1979111201,11,12,1979,1,22,1981,NA,NA,NA,"United States of America","United Kingdom","France","Italy","Japan",2,"Iran",1,"4400 1653",1,NA,4,NA,NA,NA,1,5,NA,NA,"1",NA,2,3,"1",NA,NA,3,NA,NA,NA,2,NA,NA,1,11,"12","1979","4 5 1","2 6 4 9",NA,NA,"3",NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,10,3,6,3.52602493658318,1.54396930609564,NA,2.53499712133941,"United States of America,United Kingdom,France,Italy,Japan"
"370",1979111202,11,12,1979,1,19,1981,NA,NA,NA,"Iran",NA,NA,NA,NA,630,"United States of America",0,NA,NA,NA,4,1,NA,NA,1,4,3,NA,"3",NA,2,3,NA,"4",5,3,"6388000000","USD",1979,2,"USD",1979,1,11,"12","1979","2","2",NA,4,"5 0",NA,NA,"1979",3,"6390000000","USD",1979,2,6.39e+09,"USD",1979,6,6,3,3.52602493658318,3.52799501050844,0.0176087527919347,2.35720956662785,"Iran"
"371",1979999901,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venezuela",1,"3450",NA,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,NA,NA,"3 5",NA,2,1,"4","2",NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,2,NA,NA,NA,NA,""
"372",1979999902,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,-0.491732492808361,NA,NA,-0.491732492808361,""
"373",1979999903,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uruguay",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"374",1979999904,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"375",1979999905,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Netherlands",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"376",1979999906,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"377",1979999907,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"378",1979999908,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominican Republic",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"379",1979999909,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"380",1979999910,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"381",1979999911,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"382",1979999912,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"383",1979999913,NA,NA,1979,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haiti",1,"3450",0,NA,7,NA,NA,"Diplomatic Support for 3rd party",1,8,6,NA,"3 5",NA,2,3,"1 3",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,1.51714622188741,NA,NA,1.51714622188741,""
"384",1979999914,NA,NA,1979,2,25,1979,NA,NA,NA,"Russia",NA,NA,NA,NA,365,"China",1,"4400",NA,NA,2,NA,NA,NA,1,6,NA,NA,"3",NA,2,3,"5",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,8,-0.491732492808361,NA,NA,-0.491732492808361,"Russia"
"385",1980010101,1,1,1980,NA,NA,1986,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Cuba",1,"4400",1,NA,1,NA,NA,NA,1,4,NA,NA,"6",NA,1,1,NA,"1 2 3",NA,1,NA,NA,NA,1,NA,NA,1,1,"1","1980","6",NA,NA,3,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,3,10,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"386",1980010401,1,4,1980,7,24,1981,NA,NA,NA,"United States of America","Canada","Germany","France","Australia",2,"Russia",1,"1653",0,NA,2,NA,NA,NA,1,5,NA,NA,"3",NA,2,1,"1",NA,NA,2,NA,NA,NA,2,NA,NA,1,1,"4","1980","1 4 5","2 3 4",NA,4,"0",NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,9,0,0,1.51714622188741,-0.440056398317161,NA,0.538544911785124,"United States of America,Canada,Germany,France,Australia"
"387",1980011101,1,11,1980,1,22,1981,NA,NA,NA,"Iran",NA,NA,NA,NA,630,"Japan",0,NA,NA,NA,7,NA,NA,"Retaliate for sanctions",1,5,4,NA,"5",NA,2,3,"1",NA,NA,2,"2400000000","USD",1980,2,"USD",1980,1,6,"31","1980","5","4",NA,NA,"0",NA,NA,NA,2,"2400000000","USD",1980,2,2.94e+09,"USD",1980,10,2,1,1.51714622188741,1.54396930609564,-0.0458308745189322,1.00509488448804,"Iran"
"388",1980011102,1,11,1980,1,22,1981,NA,NA,NA,"Iran",NA,NA,NA,NA,630,"Australia",0,NA,NA,NA,7,NA,NA,"Retaliate for Sanctions",1,5,4,NA,"5",NA,2,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,-0.491732492808361,NA,NA,-0.491732492808361,"Iran"
"389",1980011103,1,11,1980,1,22,1981,NA,NA,NA,"Iran",NA,NA,NA,NA,630,NA,0,NA,NA,NA,7,NA,NA,"EEC, Retaliate for Sanctions",1,5,4,NA,"3",NA,2,3,"1",NA,NA,2,NA,NA,NA,2,NA,NA,1,1,"11","1980","5","2",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,6,5,1,1.51714622188741,1.54396930609564,NA,1.53055776399152,"Iran"
"390",1980059901,5,NA,1980,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,"17","1980","1","4",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"391",1980071401,7,14,1980,8,NA,1986,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Mexico",0,NA,NA,NA,13,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,"14","1980","2","3",NA,NA,"0",NA,NA,NA,1,"20000000","USD",1979,1,NA,NA,NA,8,3,7,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"392",1980071402,7,14,1980,8,NA,1986,NA,NA,NA,"Mexico",NA,NA,NA,NA,70,"United States of America",0,NA,NA,NA,13,NA,NA,NA,1,2,NA,NA,"5",NA,2,2,"1",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,-0.491732492808361,NA,NA,-0.491732492808361,"Mexico"
"393",1980071701,7,17,1980,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,13,NA,NA,NA,1,4,NA,NA,"4",NA,2,1,"3",NA,NA,1,"80000000","USD",1980,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
